Wall time,Step,Value
1740498449.2530367,1944,-99.08625030517578
1740498548.236983,1947,-99.05999755859375
1740498559.8640575,1947,-103.44499969482422
1740499038.616529,1962,-99.08999633789062
1740499215.6280053,1967,-99.17874908447266
1740499268.6132967,1969,-99.33999633789062
1740499346.9971757,1971,-99.05999755859375
1740499507.4278724,1976,-108.5737533569336
1740499561.4246664,1978,-99.08999633789062
1740499568.0782835,1978,-99.05999755859375
1740499600.3644657,1979,-99.1762466430664
1740499746.0453553,1983,-99.13999938964844
1740500077.6396773,1993,-133.2762451171875
1740500205.0759587,1997,-157.22000122070312
1740500373.2821581,2002,-128.7987518310547
1740500516.078531,2006,-99.10624694824219
1740500538.2498372,2007,-103.6875
1740500583.747909,2008,-99.29499816894531
1740500638.4165523,2010,-99.5875015258789
1740500776.400345,2014,-103.93499755859375
1740500801.4693441,2015,-103.9437484741211
1740500809.347289,2015,-99.13749694824219
1740500813.625699,2015,-99.41374969482422
1740500866.911754,2017,-108.43875122070312
1740500869.199744,2017,-104.35749816894531
1740500894.8770716,2018,-99.05999755859375
1740500901.6059499,2018,-99.08999633789062
1740501015.52975,2021,-99.05999755859375
1740501436.1962862,2034,-99.05999755859375
1740501578.4438324,2038,-99.05999755859375
1740501616.4940498,2039,-99.08999633789062
1740501772.2366452,2044,-103.8949966430664
1740501810.7331889,2045,-99.05999755859375
1740501932.4514291,2049,-99.15875244140625
1740502042.4967597,2052,-103.82125091552734
1740502181.0447805,2056,-99.08999633789062
1740502262.810793,2059,-99.05999755859375
1740502279.8411639,2059,-108.42375183105469
1740502373.6770253,2062,-99.05999755859375
1740502643.9338427,2070,-99.32875061035156
1740502662.6999953,2071,-99.08999633789062
1740502766.9832022,2074,-99.08999633789062
1740502807.2148235,2075,-99.08999633789062
1740503032.2855043,2082,-99.27874755859375
1740503041.1401098,2082,-99.05999755859375
1740503076.1598463,2083,-99.9887466430664
1740503243.5306125,2088,-99.6937484741211
1740503291.317134,2090,-99.08999633789062
1740503302.8538375,2090,-99.08999633789062
1740503328.3258615,2091,-99.06749725341797
1740503431.335501,2094,-99.08999633789062
1740503589.1986384,2099,-128.0500030517578
1740503767.738485,2104,-99.08999633789062
1740503800.8396242,2105,-99.08999633789062
1740503824.7702935,2106,-99.33875274658203
1740503856.5022247,2107,-99.46499633789062
1740504030.2150428,2112,-99.08999633789062
1740504153.8703995,2116,-128.0500030517578
1740504317.5249732,2121,-103.0
1740504551.244293,2128,-99.56124877929688
1740504601.6835601,2130,-99.08999633789062
1740504626.892387,2131,-100.25791931152344
1740504686.417749,2133,-99.08999633789062
1740505088.3856082,2146,-103.6500015258789
1740505401.1063068,2155,-99.05999755859375
1740505484.2501726,2158,-99.08999633789062
1740505533.9476552,2159,-99.05999755859375
1740505591.8095574,2161,-99.0625
1740505627.6777394,2162,-99.05999755859375
1740505682.280651,2164,-99.08999633789062
1740505794.8843334,2167,-99.06749725341797
1740505843.6286957,2169,-99.08999633789062
1740505848.0080156,2169,-99.05999755859375
1740505873.8068206,2170,-104.00375366210938
1740505917.9658542,2171,-99.08875274658203
1740505951.1029034,2172,-99.05999755859375
1740506237.0749347,2181,-98.97875213623047
1740506241.3876948,2181,-99.06749725341797
1740506255.0631685,2181,-99.15875244140625
1740506387.0520566,2185,-99.08999633789062
1740506401.3130932,2186,-99.05999755859375
1740506451.0517328,2187,-99.28500366210938
1740506599.6783478,2192,-99.05999755859375
1740506606.9466293,2192,-99.05999755859375
1740506678.5268798,2194,-99.05999755859375
1740506767.2154346,2197,-99.05999755859375
1740506836.3084111,2199,-99.05999755859375
1740506930.246978,2202,-99.08999633789062
1740507088.5920928,2207,-103.89375305175781
1740507155.3547003,2209,-104.25749969482422
1740507228.204327,2211,-99.05999755859375
1740507229.2823358,2211,-99.13375091552734
1740507327.106702,2214,-99.05999755859375
1740507463.5018933,2218,-99.1762466430664
1740507501.4462073,2219,-99.08999633789062
1740507591.649786,2222,-99.08999633789062
1740507606.057584,2222,-99.1500015258789
1740507855.1974678,2230,-99.34375
1740507900.8281848,2231,-99.33625030517578
1740507999.876795,2234,-99.12124633789062
1740508079.5168464,2236,-99.05999755859375
1740508425.8574712,2247,-99.03250122070312
1740508435.917892,2247,-99.0625
1740508529.3490298,2250,-99.05999755859375
1740508742.8513308,2256,-104.01249694824219
1740508807.6381266,2258,-99.15875244140625
1740508972.2824104,2263,-99.08999633789062
1740508994.587524,2264,-99.08999633789062
1740509184.17691,2270,-99.08999633789062
1740509294.2941487,2273,-103.04499816894531
1740509352.3653703,2275,-103.77625274658203
1740509597.2164998,2282,-103.68499755859375
1740509616.8543816,2283,-99.05999755859375
1740509656.027931,2284,-107.5112533569336
1740509714.0226152,2286,-99.05999755859375
1740509759.838323,2287,-128.22874450683594
1740509841.7506566,2290,-99.15875244140625
1740509851.3761368,2290,-104.44833374023438
1740509892.4505937,2291,-99.05999755859375
1740510083.4022262,2297,-99.05999755859375
1740510110.5286684,2298,-99.16124725341797
1740510212.5603998,2301,-99.4937515258789
1740510240.558869,2302,-99.05999755859375
1740510381.6033208,2306,-99.05999755859375
1740510391.9548368,2306,-104.59750366210938
1740510703.6156778,2316,-99.05999755859375
1740510786.1119475,2318,-103.44499969482422
1740511251.8068178,2333,-103.43499755859375
1740511283.9835365,2334,-128.02000427246094
